,Anest,Bnest,ABnest,Cmono,Other,Non-monophyletic,Poor-resolution,Anest_total,Bnest_total,ABnest_total,Cmono_total,Other_total,Non-monophyletic_total,Poor-resolution_total,Anest_core,Bnest_core,ABnest_core,Cmono_core,Other_core,Non-monophyletic_core,Poor-resolution_core,Anest_a,Bnest_a,ABnest_a,Cmono_a,Other_a,Non-monophyletic_a,Poor-resolution_a,Anest_b,Bnest_b,ABnest_b,Cmono_b,Other_b,Non-monophyletic_b,Poor-resolution_b,total,core,a,b,name,disp,ne,time,int,history
coresim_m0_n50000_e200000_i50000_CAB,0,0,14,0,0,0,6,0,0,3.316676463,0,0,0,1.418824171,0,0,1.541561285,0,0,0,0.661564078,0,0,1.536106871,0,0,0,0.658501706,0,0,1.373928613,0,0,0,0.592652335,4.735500633,2.203125363,2.194608577,1.966580948,coresim_m0_n50000_e200000_i50000_CAB,0,50000,200000,50000,CAB
coresim_m0_n50000_e200000_i50000_ACB,0,20,0,0,0,0,0,0,4.870960401,0,0,0,0,0,0,2.153231664,0,0,0,0,0,0,2.464211993,0,0,0,0,0,0,2.018329233,0,0,0,0,0,4.870960401,2.153231664,2.464211993,2.018329233,coresim_m0_n50000_e200000_i50000_ACB,0,50000,200000,50000,ACB
coresim_m0_n50000_e200000_i50000_ABC,0,0,0,20,0,0,0,0,0,0,5.001250366,0,0,0,0,0,0,1.975314549,0,0,0,0,0,0,2.532183326,0,0,0,0,0,0,2.314857844,0,0,0,5.001250366,1.975314549,2.532183326,2.314857844,coresim_m0_n50000_e200000_i50000_ABC,0,50000,200000,50000,ABC
coresim_m0_n50000_e200000_i100000_CAB,0,0,15,0,0,0,5,0,0,3.956521307,0,0,0,1.315235953,0,0,1.729268462,0,0,0,0.575637615,0,0,1.703136457,0,0,0,0.568821393,0,0,1.367760362,0,0,0,0.45899411,5.271757259,2.304906077,2.271957851,1.826754472,coresim_m0_n50000_e200000_i100000_CAB,0,50000,200000,100000,CAB
coresim_m0_n50000_e200000_i100000_ACB,0,20,0,0,0,0,0,0,5.500007271,0,0,0,0,0,0,2.154615723,0,0,0,0,0,0,2.84239894,0,0,0,0,0,0,1.910416759,0,0,0,0,0,5.500007271,2.154615723,2.84239894,1.910416759,coresim_m0_n50000_e200000_i100000_ACB,0,50000,200000,100000,ACB
coresim_m0_n50000_e200000_i100000_ABC,0,0,0,20,0,0,0,0,0,0,5.731814984,0,0,0,0,0,0,1.806684662,0,0,0,0,0,0,2.974216547,0,0,0,0,0,0,2.463442412,0,0,0,5.731814984,1.806684662,2.974216547,2.463442412,coresim_m0_n50000_e200000_i100000_ABC,0,50000,200000,100000,ABC
coresim_m0_n50000_e200000_i200000_CAB,0,0,20,0,0,0,0,0,0,5.846212732,0,0,0,0,0,0,2.391623382,0,0,0,0,0,0,2.31305294,0,0,0,0,0,0,1.625653132,0,0,0,0,5.846212732,2.391623382,2.31305294,1.625653132,coresim_m0_n50000_e200000_i200000_CAB,0,50000,200000,200000,CAB
coresim_m0_n50000_e200000_i200000_ACB,0,20,0,0,0,0,0,0,6.224158623,0,0,0,0,0,0,2.095349841,0,0,0,0,0,0,3.307006794,0,0,0,0,0,0,1.740827829,0,0,0,0,0,6.224158623,2.095349841,3.307006794,1.740827829,coresim_m0_n50000_e200000_i200000_ACB,0,50000,200000,200000,ACB
coresim_m0_n50000_e200000_i200000_ABC,0,0,0,20,0,0,0,0,0,0,6.666408107,0,0,0,0,0,0,1.549332086,0,0,0,0,0,0,3.570620759,0,0,0,0,0,0,2.615068019,0,0,0,6.666408107,1.549332086,3.570620759,2.615068019,coresim_m0_n50000_e200000_i200000_ABC,0,50000,200000,200000,ABC
coresim_m0_n50000_e400000_i50000_CAB,0,0,13,0,0,0,7,0,0,3.344563438,0,0,0,1.800446071,0,0,1.602570171,0,0,0,0.863608334,0,0,1.605736946,0,0,0,0.863727383,0,0,1.497736976,0,0,0,0.805248691,5.14500951,2.466178505,2.469464329,2.302985668,coresim_m0_n50000_e400000_i50000_CAB,0,50000,400000,50000,CAB
coresim_m0_n50000_e400000_i50000_ACB,0,20,0,0,0,0,0,0,5.236810645,0,0,0,0,0,0,2.423866769,0,0,0,0,0,0,2.69334691,0,0,0,0,0,0,2.342330364,0,0,0,0,0,5.236810645,2.423866769,2.69334691,2.342330364,coresim_m0_n50000_e400000_i50000_ACB,0,50000,400000,50000,ACB
coresim_m0_n50000_e400000_i50000_ABC,0,0,0,20,0,0,0,0,0,0,5.320372334,0,0,0,0,0,0,2.298456708,0,0,0,0,0,0,2.741262492,0,0,0,0,0,0,2.533138753,0,0,0,5.320372334,2.298456708,2.741262492,2.533138753,coresim_m0_n50000_e400000_i50000_ABC,0,50000,400000,50000,ABC
coresim_m0_n50000_e400000_i100000_CAB,0,0,18,0,0,0,2,0,0,4.980607821,0,0,0,0.553660133,0,0,2.26968552,0,0,0,0.252538095,0,0,2.249293642,0,0,0,0.251458768,0,0,1.931159778,0,0,0,0.217890827,5.534267954,2.522223615,2.500752411,2.149050605,coresim_m0_n50000_e400000_i100000_CAB,0,50000,400000,100000,CAB
coresim_m0_n50000_e400000_i100000_ACB,0,20,0,0,0,0,0,0,5.702348022,0,0,0,0,0,0,2.396707764,0,0,0,0,0,0,2.974181668,0,0,0,0,0,0,2.218445801,0,0,0,0,0,5.702348022,2.396707764,2.974181668,2.218445801,coresim_m0_n50000_e400000_i100000_ACB,0,50000,400000,100000,ACB
coresim_m0_n50000_e400000_i100000_ABC,0,0,0,20,0,0,0,0,0,0,5.870988349,0,0,0,0,0,0,2.126168464,0,0,0,0,0,0,3.069133326,0,0,0,0,0,0,2.64190348,0,0,0,5.870988349,2.126168464,3.069133326,2.64190348,coresim_m0_n50000_e400000_i100000_ABC,0,50000,400000,100000,ABC
coresim_m0_n50000_e400000_i200000_CAB,0,0,0,0,0,0,20,0,0,0,0,0,0,5.956739798,0,0,0,0,0,0,2.550659975,0,0,0,0,0,0,2.494284882,0,0,0,0,0,0,1.909149115,5.956739798,2.550659975,2.494284882,1.909149115,coresim_m0_n50000_e400000_i200000_CAB,0,50000,400000,200000,CAB
coresim_m0_n50000_e400000_i200000_ACB,0,20,0,0,0,0,0,0,6.284192472,0,0,0,0,0,0,2.298720148,0,0,0,0,0,0,3.350588373,0,0,0,0,0,0,2.012559735,0,0,0,0,0,6.284192472,2.298720148,3.350588373,2.012559735,coresim_m0_n50000_e400000_i200000_ACB,0,50000,400000,200000,ACB
coresim_m0_n50000_e400000_i200000_ABC,0,0,0,20,0,0,0,0,0,0,6.633283006,0,0,0,0,0,0,1.853620953,0,0,0,0,0,0,3.550401426,0,0,0,0,0,0,2.73106255,0,0,0,6.633283006,1.853620953,3.550401426,2.73106255,coresim_m0_n50000_e400000_i200000_ABC,0,50000,400000,200000,ABC
coresim_m0_n100000_e200000_i50000_CAB,0,0,16,0,0,0,4,0,0,3.115835729,0,0,0,0.780174605,0,0,1.489626499,0,0,0,0.372528776,0,0,1.482447927,0,0,0,0.374774446,0,0,1.389470604,0,0,0,0.350464452,3.896010335,1.862155275,1.857222372,1.739935056,coresim_m0_n100000_e200000_i50000_CAB,0,100000,200000,50000,CAB
coresim_m0_n100000_e200000_i50000_ACB,0,20,0,0,0,0,0,0,4.01425171,0,0,0,0,0,0,1.864972837,0,0,0,0,0,0,1.998698428,0,0,0,0,0,0,1.793349226,0,0,0,0,0,4.01425171,1.864972837,1.998698428,1.793349226,coresim_m0_n100000_e200000_i50000_ACB,0,100000,200000,50000,ACB
coresim_m0_n100000_e200000_i50000_ABC,0,0,0,20,0,0,0,0,0,0,4.114633423,0,0,0,0,0,0,1.788534063,0,0,0,0,0,0,2.041922544,0,0,0,0,0,0,1.9674029,0,0,0,4.114633423,1.788534063,2.041922544,1.9674029,coresim_m0_n100000_e200000_i50000_ABC,0,100000,200000,50000,ABC
coresim_m0_n100000_e200000_i100000_CAB,0,0,15,0,0,0,5,0,0,3.351139433,0,0,0,1.114563635,0,0,1.527802659,0,0,0,0.509614922,0,0,1.513026312,0,0,0,0.506073386,0,0,1.3167133,0,0,0,0.437644186,4.465703068,2.037417581,2.019099698,1.754357486,coresim_m0_n100000_e200000_i100000_CAB,0,100000,200000,100000,CAB
coresim_m0_n100000_e200000_i100000_ACB,0,20,0,0,0,0,0,0,4.686047648,0,0,0,0,0,0,1.989277029,0,0,0,0,0,0,2.339028593,0,0,0,0,0,0,1.822236572,0,0,0,0,0,4.686047648,1.989277029,2.339028593,1.822236572,coresim_m0_n100000_e200000_i100000_ACB,0,100000,200000,100000,ACB
coresim_m0_n100000_e200000_i100000_ABC,0,0,0,20,0,0,0,0,0,0,4.876549323,0,0,0,0,0,0,1.784569433,0,0,0,0,0,0,2.430626447,0,0,0,0,0,0,2.19215608,0,0,0,4.876549323,1.784569433,2.430626447,2.19215608,coresim_m0_n100000_e200000_i100000_ABC,0,100000,200000,100000,ABC
coresim_m0_n100000_e200000_i200000_CAB,0,0,20,0,0,0,0,0,0,5.162903502,0,0,0,0,0,0,2.19041344,0,0,0,0,0,0,2.155230832,0,0,0,0,0,0,1.646401747,0,0,0,0,5.162903502,2.19041344,2.155230832,1.646401747,coresim_m0_n100000_e200000_i200000_CAB,0,100000,200000,200000,CAB
